Title,Artist,Album,Video ID,Duration
"I Will Survive  , Original Radio Edit",Hermes House Band,,2-QVqT7R9VA,
Live Is Life,Hermes House Band,,FDCDNyl2qLE,
Sweet Dreams,Eurythmics,,UZtMKpvksvE,
Holding Out for a Hero,Bonnie Tyler,,v84KMXHIf9M,
Our House,Madness,,JeYNKyrPH9w,
One Step Beyond,Madness,,I2f3KpfM5is,
Uptown Girl,Billy Joel,,H6M0EulApMM,
Boys,Sabrina Salerno,,M2bqV44CgDA,
Beds Are Burning,Midnight Oil,,wZGxcVkv_OQ,
Barbie Girl,Aqua,,77zog6Up_Yg,
Laissez-moi danser,Dalida,,RANuU1yv-pM,
Hot Stuff,Donna Summer,,YgylzyzReQc,
Bella ciao,El Profesor,,o-yueRd-k0c,
La salsa du démon,Le Grand Orchestre du Splendid,,f8uvvcoWw54,
Ça m'énerve,Helmut Fritz,,lAd0kTvYCpw,
L'aventurier,Indochine,,09BJyzWUesw,
Allumer le feu,Johnny Hallyday,,8fOo2rmowVU,
Désenchantée,Mylène Farmer,,z7kVI2W5jGw,
Katchi,Ofenbach,,M3wKDN2-suY,
Enola Gay,Orchestral Manoeuvres in the Dark,,dJ7JtLY8jIE,
Patrick Juvet - Où sont les femmes,hoogstraaaate,,Zqc7mVZQNFo,
Les sardines,Patrick Sébastien,,Qx_0Wtc7y10,
Cherchez le garçon,Taxi Girl,,Av83iD8zn_w,
Don’t Stop The Party,Black Eyed Peas,,LuHeqUP_t7s,
Close To Me,The Cure,,O1dD07sB9lY,
YMCA,Village People,,RN8Li7kYNnw,
Go West,Village People,,2Wx1KcWs4Gw,
Le chanteur,Daniel Balavoine,,lDl7oclJcrw,
Nuit de folie,Début de Soirée,,7kQchNdvDIw,
Les démons de minuit,Images,,OP1Q1flNbVA,
Les lacs du Connemara,Michel Sardou,,q_uAMJwxzrM,
Les sunlights des tropiques,Gilbert Montagné,,bQwNXzBPuhI,
Born to Be Alive,Patrick Hernandez,,vb5a-GYty-o,
Stayin Alive,Bee Gees,,z2qoihbzc3E,
I Will Survive,Gloria Gaynor,,WnrE0yN2uLY,
Gimme! Gimme! Gimme!,ABBA,,pa2j0Bh83ms,
Maldòn,Zouk Machine,,Bxxg6GxsvSo,
Sing Hallelujah!,Dr. Alban,,sUYa5FZTyBk,
À nos souvenirs,Trois Cafés gourmands,,8d0nDmbGy90,
Alexandrie Alexandra,Claude François,,Nn35nuigLBI,
Seven Nation Army,The White Stripes,,D_QLxj8jCF0,
La danse de Zorba,Dalida,,SBwETLodkx0,
Maniac,Michael Sembello,,6GCNUeTFSbA,
Desireless - Voyage Voyage,Pixeldada,,6PDmZnG8KsM,
Plus près des étoiles,Gold,,mMzRtQxrR_A,
Le coup de folie,Thierry Pastor,,o5SgRbSShv4,
... Baby One More Time,Britney Spears,,91Niv2q4gvc,
Around the World,Daft Punk,,ARfJ55bUAw0,
Gangsta's Paradise,Coolio,,-5qqrMu_AZc,
Le lundi au soleil,Claude François,,aBOa6H8yD9E,
Dance Monkey,Tones and I,,_3E7AnwYFNE,
Clara Luciani - La grenade,ClaraLucianiVEVO,,85m-Qgo9_nE,
Shaka Ponk - I'm Picky,Julien Gaudry,,rItsVhDaAfU,
